code,slug,name,short_name,scientific_question,source_dataset,geometry,inclusion_rule,exclusion_rule,feature_count,value_field,value_unit,color,limitations,grid_readiness,aggregation_rule_provisional,status,cutoff_date,piH_priority_calculated
E01,pocos_canonicos,Poços canônicos provisórios,Poços canônicos,Quantos identificadores SIAGAS espacialmente utilizáveis existem,SIAGAS_MS_20260814 + AUDITORIA_V1,POINT,ID SIAGAS canônico provisório com coordenadas numéricas,Nenhum ID é removido por possível duplicação física nesta fase,3877,,,#0B4F6C,ID digital não demonstra independência física entre poços,READY_FOR_GRID_COUNTS,COUNT_DISTINCT(well_id),DERIVED_EVIDENCE_LAYER_V1,2026-08-29,NO
E02,profundidade_positiva,Profundidade positiva informada,Profundidade,Onde existe profundidade total positiva no snapshot atual,SIAGAS_MS_20260814,POINT,num_profundidade numérico e maior que zero,"Nulo, vazio e zero não entram nesta camada",3414,depth_m,m,#166E9B,Profundidade total não equivale a intervalo captado nem cobertura vertical,READY_FOR_GRID_COUNTS,COUNT_DISTINCT(well_id); MEDIAN(depth_m); P10/P90 somente em análise de malha,DERIVED_EVIDENCE_LAYER_V1,2026-08-29,NO
E03,aquifero_informado,Aquífero informado no cadastro,Aquífero informado,Onde o cadastro SIAGAS informa um nome de aquífero,SIAGAS_MS_20260814,POINT,str_aquifero não vazio,Nomes vazios não entram,3097,aquifer_informed,text,#1D7FAF,O nome cadastral pode usar taxonomias diferentes e não é reclassificado automaticamente,READY_FOR_GRID_COUNTS,COUNT_DISTINCT(well_id); DIVERSITY(aquifer_informed) sem interpretar diversidade como qualidade,DERIVED_EVIDENCE_LAYER_V1,2026-08-29,NO
E04,nivel_estatico_disponivel,Nível estático disponível,Nível estático,Onde existe valor numérico de nível estático no snapshot atual,SIAGAS_MS_20260814,POINT,NE numérico presente,Ausência do campo não é convertida em zero,3213,static_level_m,m,#278FC0,A camada indica disponibilidade. A data de medição não está disponível na extração plana e 33 zeros permanecem para revisão,READY_FOR_GRID_COUNTS,COUNT_DISTINCT(well_id); zero_count separado; não interpolar nesta fase,DERIVED_EVIDENCE_LAYER_V1,2026-08-29,NO
E05,nivel_dinamico_disponivel,Nível dinâmico disponível,Nível dinâmico,Onde existe valor numérico de nível dinâmico,SIAGAS_MS_20260814,POINT,ND numérico presente,Ausência do campo não é convertida em zero,3180,dynamic_level_m,m,#359FCB,A camada indica disponibilidade. Sem contexto completo do ensaio o valor não é interpretado isoladamente,READY_FOR_GRID_COUNTS,COUNT_DISTINCT(well_id); zero_count separado; não interpolar nesta fase,DERIVED_EVIDENCE_LAYER_V1,2026-08-29,NO
E06,vazao_especifica_nao_negativa,Vazão específica não negativa,Vazão específica,Onde existe valor de vazão específica não negativo,SIAGAS_MS_20260814 + AUDITORIA_V1,POINT,Valor numérico maior ou igual a zero,Três valores negativos foram excluídos da camada derivada e permanecem na fonte com flag de revisão,3051,specific_capacity,SOURCE_UNIT_NOT_VERIFIED,#467FC0,Unidade ainda não congelada documentalmente. Não comparar magnitudes até resolver a unidade,READY_FOR_GRID_COUNTS,COUNT_DISTINCT(well_id); somente presença na primeira malha,DERIVED_EVIDENCE_LAYER_V1,2026-08-29,NO
E07,ensaio_bombeamento_cadastrado,Ensaio de bombeamento cadastrado,Ensaio cadastrado,Onde o snapshot enriquecido SGB 2024 informa tipo de ensaio,SGB_HIDRO_MS_2024_POCOS,POINT,test_type_sgb2024 não vazio,Ausência de tipo não é inferida a partir de NE ou ND,1106,test_type,text,#3659A7,Existência cadastral do ensaio não demonstra qualidade metodológica nem adequação para estimar parâmetros,READY_FOR_GRID_COUNTS,COUNT_DISTINCT(well_id); COUNT_BY(test_type),DERIVED_EVIDENCE_LAYER_V1,2026-08-29,NO
E08,ensaio_metadados_minimos,Ensaio com metadados mínimos de cadastro,Ensaio documentado,Onde o registro contém um conjunto mínimo explícito de metadados de ensaio,SGB_HIDRO_MS_2024_POCOS,POINT,Tipo + data + NE + ND + vazão estabilizada presentes,Não exige método interpretativo porque ele está disponível em apenas dois registros,1096,test_type,text,#263E86,"Esta é uma classe documental, não uma certificação de validade hidrogeológica do ensaio",READY_FOR_GRID_COUNTS,COUNT_DISTINCT(well_id); no futuro separar presença de método e duração,DERIVED_EVIDENCE_LAYER_V1,2026-08-29,NO
E09,transmissividade_informada,Transmissividade informada,Transmissividade,Onde existe número de transmissividade no snapshot histórico enriquecido,SGB_HIDRO_MS_2024_POCOS,POINT,transmissivity_sgb2024 numérica,Nulo não entra. Zero permanece com flag de revisão,51,transmissivity,SOURCE_UNIT_NOT_VERIFIED,#0C3C78,"Unidade e método não estão documentados para a maioria. A camada mapeia disponibilidade, não qualidade do parâmetro",READY_FOR_GRID_COUNTS,COUNT_DISTINCT(well_id); zero_count separado; magnitude não agregada até congelar unidade,DERIVED_EVIDENCE_LAYER_V1,2026-08-29,NO
E10,evidencia_hidroquimica_parcial,Evidência hidroquímica e físico-química parcial,Hidroquímica parcial,Onde existe pelo menos um campo físico-químico ou químico na extração atual,SIAGAS_MS_20260814,POINT,"Pelo menos um entre pH, condutividade elétrica, temperatura, turbidez ou parâmetro químico exposto",Ausência de parâmetro não é zero,2053,available_count,count,#4A97C2,Não representa análise hidroquímica completa. O parâmetro químico massivo identificado é sólidos dissolvidos totais,READY_FOR_GRID_COUNTS,COUNT_DISTINCT(well_id); COUNT_BY(available_fields); não combinar analitos diferentes,DERIVED_EVIDENCE_LAYER_V1,2026-08-29,NO
