question_code,requirement_code,dimension,requirement_name,source_field,role,evaluation_rule,demonstrated_rule,not_demonstrated_state,source_ids,universal_numeric_threshold_used,weight_used,unknown_rule,method_version
Q01,Q01_R01,ESPACIAL,COORDENADA_VALIDA,spatial_coordinate_valid,CRITICO_REGISTRO,Coordenada válida nas regras atuais,spatial_coordinate_valid = TRUE,REVISAO_COORDENADA_NAO_VALIDA,OF02|IN03,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q01,Q01_R02,HIDRAULICA,NIVEL_ESTATICO,hydraulic_static_level_available,CRITICO_REGISTRO,Nível estático informado,hydraulic_static_level_available = TRUE,UNKNOWN_NIVEL_ESTATICO_NAO_DOCUMENTADO,OF02|IN02,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q01,Q01_R03,TEMPORAL,DATA_NIVEL,level_measurement_dated,CRITICO_REGISTRO,Data explícita associada à medição de nível,level_measurement_dated = TRUE,UNKNOWN_DATA_DA_MEDICAO_DE_NIVEL,IN02|IN03,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q01,Q01_R04,VERTICAL,PROFUNDIDADE_POSITIVA,vertical_depth_positive,CRITICO_REGISTRO,Profundidade total positiva informada,vertical_depth_positive = TRUE,UNKNOWN_PROFUNDIDADE_POSITIVA_NAO_DOCUMENTADA,OF02|IN03,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q01,Q01_R05,VERTICAL,INTERVALO_CAPTADO,capture_interval_demonstrated,CRITICO_REGISTRO,Intervalo filtrado ou aberto demonstrado,capture_interval_demonstrated = TRUE,UNKNOWN_INTERVALO_CAPTADO_NAO_ADQUIRIDO,IN03,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q01,Q01_R06,HIDROESTRATIGRAFICA,HIDROESTRATIGRAFIA_CONSISTENTE,hydrostrat_consistent,CRITICO_REGISTRO,Atribuição hidroestratigráfica consistente nas regras atuais,hydrostrat_consistent = TRUE,UNKNOWN_OU_REVISAO_HIDROESTRATIGRAFICA,OF01|OF02,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q01,Q01_R07,QUALIDADE_DOCUMENTAL,SEM_INVALIDO_OBJETIVO,no_objective_invalid,CRITICO_REGISTRO,Nenhum valor objetivamente inválido nas regras atuais,no_objective_invalid = TRUE,REVISAO_VALOR_OBJETIVAMENTE_INVALIDO,OF02,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q02,Q02_R01,ESPACIAL,COORDENADA_VALIDA,spatial_coordinate_valid,CRITICO_REGISTRO,Coordenada válida nas regras atuais,spatial_coordinate_valid = TRUE,REVISAO_COORDENADA_NAO_VALIDA,OF02|IN03,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q02,Q02_R02,VERTICAL,INTERVALO_CAPTADO,capture_interval_demonstrated,CRITICO_REGISTRO,Intervalo filtrado ou aberto demonstrado,capture_interval_demonstrated = TRUE,UNKNOWN_INTERVALO_CAPTADO_NAO_ADQUIRIDO,IN03|HY06,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q02,Q02_R03,HIDROESTRATIGRAFICA,HIDROESTRATIGRAFIA_CONSISTENTE,hydrostrat_consistent,CRITICO_REGISTRO,Atribuição hidroestratigráfica consistente nas regras atuais,hydrostrat_consistent = TRUE,UNKNOWN_OU_REVISAO_HIDROESTRATIGRAFICA,OF01|HY06,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
