question_code,dimension,role,aggregation_allowed,substitution_allowed,interpretation,method_version
Q01,ESPACIAL,CRITICA_REGISTRO,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q01,HIDROESTRATIGRAFICA,CRITICA_REGISTRO,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q01,VERTICAL,CRITICA_REGISTRO,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q01,HIDRAULICA,CRITICA_REGISTRO,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q01,HIDROQUIMICA,NAO_APLICAVEL,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q01,TEMPORAL,CRITICA_REGISTRO,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q01,INDEPENDENCIA,CRITICA_CELULA,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q01,QUALIDADE_DOCUMENTAL,CRITICA_REGISTRO,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q01,INCERTEZA,TRANSVERSAL,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q02,ESPACIAL,CRITICA_REGISTRO,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q02,HIDROESTRATIGRAFICA,CRITICA_REGISTRO,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q02,VERTICAL,CRITICA_REGISTRO,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q02,HIDRAULICA,CRITICA_REGISTRO,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q02,HIDROQUIMICA,NAO_APLICAVEL,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q02,TEMPORAL,SUPORTE,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q02,INDEPENDENCIA,CRITICA_CELULA,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q02,QUALIDADE_DOCUMENTAL,CRITICA_REGISTRO,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q02,INCERTEZA,TRANSVERSAL,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q03,ESPACIAL,CRITICA_REGISTRO,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q03,HIDROESTRATIGRAFICA,CRITICA_REGISTRO,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q03,VERTICAL,CRITICA_REGISTRO,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q03,HIDRAULICA,NAO_APLICAVEL,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q03,HIDROQUIMICA,CRITICA_REGISTRO,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q03,TEMPORAL,CRITICA_REGISTRO,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q03,INDEPENDENCIA,CRITICA_CELULA,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q03,QUALIDADE_DOCUMENTAL,CRITICA_REGISTRO,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q03,INCERTEZA,TRANSVERSAL,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
